Name,Type,Price,Category Gender,Size,min_size,max_size,Rating,Review Count,Status,Product Link
pocketable uv protection parka  pattern,pocketable,149.9,women,xs-xxl,xs,xxl,0.0,0,0,https://www.uniqlo.com/my/en/products/E474895-000
pocketable uv protection parka,pocketable,149.9,women,xs-xxl,xs,xxl,4.9,7,5,https://www.uniqlo.com/my/en/products/E474175-000
miracle air jacket  relaxed fit  co-ord,miracle,249.9,women,xs-xxl,xs,xxl,5.0,3,0,https://www.uniqlo.com/my/en/products/E474560-000
windproof vest,windproof,129.9,unisex,xs-xxl,xs,xxl,5.0,1,0,https://www.uniqlo.com/my/en/products/E476521-000
denim oversized jacket,denim,199.9,women,xs-xxl,xs,xxl,5.0,2,2,https://www.uniqlo.com/my/en/products/E474564-000
windproof stand blouson,windproof,249.9,women,xs-xxl,xs,xxl,5.0,2,0,https://www.uniqlo.com/my/en/products/E474894-000
jersey relaxed jacket,jersey,149.9,women,xs-xxl,xs,xxl,5.0,197,0,https://www.uniqlo.com/my/en/products/E469775-000
drapey wide flare jeans,drapey,149.9,women,22inch-32inch,22inch,32inch,4.8,126,0,https://www.uniqlo.com/my/en/products/E477333-000
linen cotton shorts,linen,99.9,women,xs-3xl,xs,3xl,4.8,31,0,https://www.uniqlo.com/my/en/products/E473696-000
miracle air wide pants  co-ord,miracle,149.9,women,xs-3xl,xs,3xl,2.0,1,0,https://www.uniqlo.com/my/en/products/E475819-000
dry sweat pants,dry,129.9,women,xs-3xl,xs,3xl,4.2,13,0,https://www.uniqlo.com/my/en/products/E476109-000
pleated wide pants,pleated,149.9,women,xs-3xl,xs,3xl,4.9,966,0,https://www.uniqlo.com/my/en/products/E460311-000
linen blend easy pants  stripe,linen,99.9,women,xs-3xl,xs,3xl,5.0,4,0,https://www.uniqlo.com/my/en/products/E477006-000
ultra stretch active jogger pants,ultra,129.9,women,xs-3xl,xs,3xl,4.9,863,0,https://www.uniqlo.com/my/en/products/E455942-000
airism soft ribbed flare leggings,airism,129.9,women,s-xl,s,xl,4.8,4,2,https://www.uniqlo.com/my/en/products/E476115-000
geared pants,geared,149.9,women,xs-3xl,xs,3xl,5.0,3,0,https://www.uniqlo.com/my/en/products/E477347-000
smart ankle maternity pants,smart,149.9,women,xs-xxl,xs,xxl,4.9,20,2,https://www.uniqlo.com/my/en/products/E461136-000
smart ankle pants,smart,149.9,women,xs-3xl,xs,3xl,4.9,999,0,https://www.uniqlo.com/my/en/products/E450606-000
ultra stretch maternity leggings pants  denim,ultra,149.9,women,xs-xxl,xs,xxl,5.0,4,0,https://www.uniqlo.com/my/en/products/E464153-000
ultra stretch maternity leggings pants,ultra,149.9,women,xs-xxl,xs,xxl,3.0,2,0,https://www.uniqlo.com/my/en/products/E464152-000
ultra stretch leggings pants  denim,ultra,129.9,women,xs-3xl,xs,3xl,4.8,77,0,https://www.uniqlo.com/my/en/products/E464149-000
ultra stretch leggings pants,ultra,129.9,women,xs-3xl,xs,3xl,4.8,130,0,https://www.uniqlo.com/my/en/products/E464148-000
drape easy wide pants,drape,149.9,women,xs-3xl,xs,3xl,5.0,1,0,https://www.uniqlo.com/my/en/products/E475829-000
jersey barrel pants,jersey,149.9,women,xs-xxl,xs,xxl,4.8,24,0,https://www.uniqlo.com/my/en/products/E475344-000
wide chino pants,wide,149.9,women,xs-3xl,xs,3xl,4.9,176,0,https://www.uniqlo.com/my/en/products/E469828-000
denim shorts,denim,129.9,women,22inch-32inch,22inch,32inch,5.0,1,3,https://www.uniqlo.com/my/en/products/E475861-001
denim shorts,denim,129.9,women,22inch-32inch,22inch,32inch,5.0,11,3,https://www.uniqlo.com/my/en/products/E475861-000
drapey skort  denim,drapey,99.9,women,xs-3xl,xs,3xl,4.5,28,0,https://www.uniqlo.com/my/en/products/E477522-000
sweat wide pants,sweat,129.9,women,s-xl,s,xl,0.0,0,1,https://www.uniqlo.com/my/en/products/E476108-000
ultra stretch active wide pants,ultra,129.9,women,xs-3xl,xs,3xl,0.0,0,1,https://www.uniqlo.com/my/en/products/E474481-000
ultra stretch active shorts,ultra,99.9,women,s-xl,s,xl,0.0,0,1,https://www.uniqlo.com/my/en/products/E476112-000
ribbed bra dress  sleeveless,ribbed,149.9,women,xs-3xl,xs,3xl,0.0,0,0,https://www.uniqlo.com/my/en/products/E477164-000
ribbed bra dress  sleeveless,ribbed,149.9,women,xs-3xl,xs,3xl,0.0,0,0,https://www.uniqlo.com/my/en/products/E474080-000
combination dress,combination,149.9,women,xs-xxl,xs,xxl,5.0,6,0,https://www.uniqlo.com/my/en/products/E474064-000
ultra stretch dress,ultra,129.9,women,xs-xxl,xs,xxl,4.9,9,3,https://www.uniqlo.com/my/en/products/E474063-000
